text,label
"australia umumkan bantuan kemanusiaan untuk iran sebesar rp 50 juta dollar. setelah spanyol berikan bantuan kemanusiaan ke iran, kini menyusul australia juga berikan bantuan 50 juta dollar untuk iran.",hoax
"23 april 2026. apbn ri hanya cukup untuk 3 bulan, rupiah bisa sentuh rp20.000, jika keseimbangan kas ini tidak segera diperkuat, kemampuan anggaran negara dalam menjaga momentum pertumbuhan di kuartal mendatang dikhawatirkan akan menemui tantangan besar. kondisi tersebut mulai mempengaruhi persepsi pasar, dimana proyeksi pelemahan nilai tukar ke arah angka psikologis baru mulai dibahas sebagai risiko makro yang perlu diwaspadai. tekanan terhadap mata uang dipicu oleh lonjakan beban impor energi dan sentimen publik terhadap fleksibilitas anggaran. sejumlah pengamat menyoroti bahwa logika ekspansi belanja saat ini perlu diimbangi dengan realisasi pendapatan yang kuat, terutama di tengah perlambatan ekonomi global yang menekan sektor perpajakan. masyarakat kini menantikan transparansi data yang lebih komprehensif untuk menjawab keraguan yang berkembang. batas waktu tiga bulan ke depan akan menjadi fase pembuktian apakah asumsi pesimis yang viral tersebut memiliki dasar yang kuat atau sekadar kekhawatiran pasar. tanpa kepastian informasi dan jaminan data yang valid, spekulasi mengenai ketahanan anggaran akan terus menjadi bola liar yang berpotensi memicu ketidakpastian ekonomi di tingkat akar rumput,",hoax
"demi islam seorang pengusaha bernama m.hasbi al khairi asal atb memberikan bantuan uang sebanyak 548 triliun kepada iran,",hoax
"program bantuan budidaya ikan air tawar dari pemerintah inline3 margin 1.5em auto inline3 img margin 0 auto max width 300px important gpt inline3 passback text align center dukung ketahanan pangan dan ekonomi masyarakat melalui bantuan budidaya ikan air tawar. kriteria penerima petani pemula, kelompok tani, pekerja yang membutuhkan dukungan usaha, segera manfaatkan kesempatan ini berlaku sampai bulan desember. bersama kita tingkatkan produksi ikan air tawar indonesia link daftar ada di bio profil.",hoax
"israel melakukan kesalahan besar rudal israel secara tidak sengaja menghantam gedung kedutaan korea utara di taheran. lah, ko serangannya makin kesini makin ngaur israel. bagaimana nanti kedepannya setelah kedutaan korea utara dapat serangan dari israel, rudal israel secara tidak sengaja menghantam gedung kedutaan besar korea utara di taheran,",hoax
"pemutihan pajak kendaraan gratis 2026 buat yang pajak kendaraan sudah lama mati, ini kesempatan emas gratis ganti plat gratis pajak kendaraan gratis balik nama kendaraan gratis pembuatan sim stnk program hanya sampai tahun 2026 jangan sampai ketinggalan daftar sekarang dengan cara klik link tautan di bio profil .",hoax
"terima kasih, bpn. berkat pemutihan sertifikat tanah, semuanya gratis. 0 04 cek dan daftarkan link ada di bio, bpn ajak masyarakat manfaatkan program gratis sertifikat tanah gratis. badan pertanahan nasional bpn indonesia mengajak masyarakat memanfaatkan program pendaftaran tanah sistematis lengkap ptsl . untuk pengurusan surat tanah itu secara gratis.",hoax
"menlu china israel harus dibubarkan sebelum tindakan licik mereka picu perang dunia iii, negara israel harus dibubarkan sebelum tindakan liciknya memicu pecahnya perang dunia ketiga.",hoax
"mulai sekarang 28 april 2026 ojk telah membersihkan penghapusan.....data bagi nasabah yang gagal bauar pinjol secara online berlaku di seluruh indonesia, segera daftarkan diri anda sekarang terbesar hutang mulai sekarang 28 april 2026 ojk telah membersihkan penghapusan. hati hati terhadap modus penipuan yang mengatasnamakan ojk. ojk tidak pernah mengeluarkan pernyataan tentang pemutihan data pinjaman online. pastikan kebenaran informasi yang mengatasnam akan otoritas jasa keuangan ke kontak ojk m elalui telepon 157, whatsapp 081 157 157 157, email sebarkan inf ormasi ini agar teman dan keluarg amu terhindar dari penipuan.",hoax
"menteri agama meminta seluruh masyarakat yang ingin berkurban, lebih baik diserahkan ke kami biar pemerintah yang kelola.... apakah kalian setuju dengan pernyataan itu ..... silakan komen dibawah beritaviral menteri agama menyarankan agar masyarakat menyetorkan uang akikah atau kurban ke baznas atau dikelola pemerintah daripada repot repot memotong kambing sendiri.",hoax
"zulhas menegaskan tugas rakyat hanya satu, yaitu bayar pajak tidak seharusnya ikut campur urusan pemerintah. kaya kerjanya bener aja pemerintah sebagai bentuk keseriusan kami dalam melawan fitnah dan menjaga marwah pimpinan, pada hari ini, selasa 21 4 2026 , bm pan melalui tim advokasi telah resmi mengambil langkah hukum dengan melaporkan akun akun penyebar disinformasi tersebut ke pihak kepolisian atas dugaan pelanggaran uu ite dan pencemaran nama baik, ketum kami zulkifli hasan tidak pernah mengatakan kalimat tugas rakyat hanya satu yaitu bayar pajak seperti yang banyak beredar. pola penyebaran informasi seperti ini merupakan bagian dari manipulasi opini publik yang sengaja dibungkus secara dramatis untuk membangun persepsi negatif terhadap pimpinan kami, sekjen barisan muda pan luruskan maraknya narasi hoaks sasar zulhas.",hoax
"perang darat segera dimulai, pasukan milisi iran tidak akan mengijinkan pasukan penjajah as untuk menginjakkan kakinya di tanah iran. pasukan chechnya siap bantu iran karena ini dianggap sebagai perang suci allahu akbar",hoax
"tirto.id sebuah video beredar di media sosial tiktok mengklaim menteri keuangan ri tawarkan bantuan modal usaha sebesar rp85 juta dengan cara mendaftar langsung dengan menghubungi purbaya. inline3 margin 1.5em auto inline3 img margin 0 auto max width 300px important gpt inline3 passback text align center namun, tirto menemukan beberapa kejanggalan di mana video yang ditayangkan terlihat tidak proporsional dan gerak bibir yang tidak sesuai. selain itu, dua orang di belakang purbaya terlihat memiliki ekspresi wajah yang datar dan pucat. inline4 margin 1.5em 0 inline4 img max width 300px important margin auto display block gpt inline4 passback text align center lantas, benarkah purbaya menawarkan bantuan modal usaha sebesar rp85 juta anak buah purbaya febrio nathan kacaribu jadi komisaris bni periksa fakta bantuan 85 juta menkeu purbaya. foto hotline periksa fakta tirto",hoax
"bmkg warning kemarau 2026 bakal terparah dalam 30 tahun. bmkg peringatkan indonesia akan dilanda kemarau ekstrem pada 2026, bakal jadi yang terburuk dalam 30 tahun terakhir, alert kemarau ekstrem 2026 bmkg salah satu yang terparah dalam 30 tahun terakhir indonesia bersiap menghadapi ancaman serius. bmkg resmi mengeluarkan peringatan keras bahwa musim kemarau 2026 berpotensi menjadi salah satu yang paling ekstrem dalam tiga dekade terakhir. fenomena ini dipicu kemarau yang datang lebih cepat dari biasanya serta pengaruh el nino fase lemah hingga moderat yang mulai terasa dampaknya di berbagai wilayah. tanda tanda bahaya sudah terlihat. data terbaru menunjukkan sekitar 64,5 persen zona musim di indonesia mengalami curah hujan di bawah normal. bahkan lebih dari setengah wilayah tanah air diprediksi menghadapi kemarau yang lebih panjang dan lebih kering dibanding tahun tahun sebelumnya. situasi ini meningkatkan risiko krisis air, gagal panen, hingga lonjakan kebakaran hutan dan lahan. kepala teuku faisal fathani menjelaskan bahwa kemarau akan dimulai dari wilayah nusa tenggara, kemudian merambat ke bali dan jawa, sebelum akhirnya meluas ke sumatera. puncak musim kering diperkirakan terjadi pada agustus, dan baru mereda menjelang akhir september hingga awal oktober. ia menegaskan, udara yang semakin kering serta minimnya pembentukan awan akan memperbesar potensi kekeringan ekstrem dan kebakaran hutan. kondisi ini berpotensi berdampak luas, mulai dari pasokan air bersih, ketahanan pangan, hingga kualitas udara di sejumlah wilayah. bmkg menilai langkah mitigasi harus segera dilakukan. salah satu strategi penting adalah modifikasi cuaca di daerah rawan untuk menekan risiko kebakaran dan kekeringan berkepanjangan. pemerintah daerah, sektor pertanian, serta masyarakat diminta meningkatkan kewaspadaan dan bersiap menghadapi musim kering yang panjang. kemarau 2026 bukan sekadar musim kering biasa ini bisa menjadi ujian besar bagi ketahanan lingkungan dan sumber daya indonesia.",hoax
dpr dukung menteri desa untuk tutup alfa indomaret demi koperasi desa,hoax
pm timor leste sampaikan tangkap segera yusuf kalla dia sudah menghina agama kristen,hoax
"viral...... purbaya berkata kepada prabowo. izin pak prabowo, bagaimana jika kita hapuskan program mbg dan digantikan menjadi bantuan sosial ke iran, bantuan sosial ke palestina, bantuan sosial ke israel daripada anak anak kita ker4cunan, korup5i dana di setiap provinsi dan bisa menjadi amal pahala jika kita alihkan ke timur tengah diakhirat nanti.",hoax
as umumkan ambil alih selat malaka dari indonesia trump tuntut ri tunduk serahkan kedaulatan negara indonesia dalam bahaya amerika mau ambil alih selat malaka dan wilayah udara indonesia,hoax
ungkap fakta pembentukan rekening kas masjid yang nanti akan dikelola oleh pemerintah rekening kas masjid akan dikelola pemerintah,hoax
"zulhas menegaskan tugas raky4t hanya satu yaitu bay4r paj4k, tidak seharusnya ikut campur urusan pemerint4h",hoax
"uya kuya punya 750 dapur mbg, uya mbg itu investasi jangka panjang untuk menuju indonesia emas alhamdulillah dari insentif aja udah 4.5m per hari",hoax
"malaysia singapura ancam kedaulatan indonesia, prabowo geram turunkan jet tempur dan kapal perang",hoax
"di tahun 2026 awal bulan desember pemerintah melalui kementerian sosial ri menyalurkan kembali bantuan melalui program keluarga harapan pkh tahap ke 3 1.balita usia 0 6 rp. 750.000 2.ibu hamil rp. 5.750.000 3.siswa sd rp. 2.225.000 4.siswa smp rp. 3.225.000 5.sisws sma rp. 5.500.000 6.lansia berusia rp. 6.600.000 7.penyandang disabiltas rp. 4.600.000 buruan daftarkan diri kalian.akses website resmi kementerian sosial. batas pendaftaran sampai 29 desember 2025. pendaftaran bantuan program keluarga harapan pkh akan di claim atau dihubungi dalam jangka 1x24 setelah mendaftar bantuansosial programkeluargaharapan bantuanlangsungtunai pkh blt akhir akhir ini banyak beredar pesan berantau berisi link tautan yang di dalanya terdapat berita bohong hoaks terkait pencairan dan atau pendaftaran bantuan sosial. kementerian sosial tidak pernah membuat situs ataupun tautan terkait pendaftaran maupun pencairan bantuan sosial. adapun penerima bantuan sosial program kartu sembako bpnt dan pkh adalah masyarakat yang telah terdaftar ke dalam data terpadu kesejahteraan sosial dtks , jika masyarakat layak menerima namun belum terdaftar dalam dtks, bisa diusulkan pemerintah daerah atau mengajukan melalui aplikasi cek bansos di menu usul sanggah. penelusuran juga mengarah pada artikel berjudul",hoax
korban penyiraman air keras andrie yunus hidup di negeri adi adaya,hoax
"akun tiktok arkanest.studio pada rabu, 18 03 2026 mengunggah video arsip yang memperlihatkan sebuah gedung mengalami kebakaran diduga terjadi di tel aviv setelah terkena serangan rudal. informasi itu disertai dengan narasi sebagai berikut video menunjukkan kebakaran dan kerusakan gedung tinggi di tel aviv setelah serangan rudal di tengah meningkatnya konfrontasi antara iran dan isrl. serangan serangan sebelumnya di wilayah tersebut juga dilaporkan menimbulkan korban jiwa serta kerusakan pada bangunan, menandakan meningkatnya intensitas konflik di kawasan.",hoax
"klaim link pendaftaran bantuan blt umkm 2026 berupa tulisan sebagai berikut. bantuan blt umkm untuk semua pelaku umkm usaha mikro, kecil dan menengah. kabar gembira untuk para umkm, tahun ini telah diluncurkan program blt umkm yakni bantuan terhadap seluruh pegiat umkm. jika link tersebut diklik akan mengarah pada halaman situs dengan tampilan formulir digital yang meminta sejumlah identitas, seperti nama lengkap, nomor telepon dan alamat lengkap.",hoax
warga iran turun ke jalan dan pembangkit listrik untuk melawan musuh amerika israel dan mencegah mereka menargetkan pusat pusat energi.,hoax
"video bersejarah zulfikar ali bhuto, presiden pakistan, merobek dokumen perserikatan bangsa bangsa ketika diberitahu bahwa pakistan tidak boleh memiliki senjata zulkarnain mahmud",hoax
pembentukan rekening kas masjid yang nanti akan dikelola oleh pemerintah,hoax
sulthan pasundan channel perang as iran pindah lokasi as targetkan selat malaka kerahkan kapal perang menuju indonesia untuk buru kapal tanker iran,hoax
indonesia resmi umumkan tarik seluruh pasukan perdamaian tni dari lebanon perintahkan evakuasi total,hoax
"akun facebook pt freeport ind pada selasa 14 4 2026 mengunggah tautan arsip disertai narasi lowongan kerja terbuka pt freeport ind terbuka untuk lulusan sma smk, d3 s1 tersedia posisi untuk semua jurusan gaji rp.12.000.000 hingga rp.32.000.000 buruan masukkan lamaran dan daftar sekarang.",hoax
penyaluran bantuan alat pertanian apbn tahun 2026 direktorat jenderal prasaran dan sarana pertanian kementerian pertanian daftar sekarang,hoax
megawati soekarnoputri ingatkan kalo mau lihat sampah negara maka lihatlah guru honorer karena merekalah sampah negara bagaimana pendapat anda guru honorer adalah sampah negara,hoax
"berikut update terbaru soal gempa besar di jepang update gempa jepang m 7,4 20 april 2026 . gempa berkekuatan magnitudo 7,4 7,5 mengguncang wilayah utara jepang lepas pantai prefektur iwate . terjadi sekitar pukul 14 52 wib 16 53 waktu jepang. pusat gempa berada di laut, sekitar 71 km dari kota miyako.",hoax
beredar foto arsip pada minggu 1 3 2026 dari akun facebook loker terbaru berisi informasi lowongan kerja bumn dan indofood group 2026. unggahan disertai takarir lowongan kerja bumn 2026 badan usaha milik negara bumn bumn membuka kesempatan berkarier bagi putra putri terbaik indonesia untuk bergabung dan berkembang bersama perusahaan nasional. posisi tersedia staff administrasi staff operasional customer service operator fresh graduate kualifikasi umum warga negara indonesia wni pendidikan minimal sma smk d3 s1 usia minimal 18 tahun sehat jasmani rohani mampu bekerja secara tim maupun individu daftar sekarang,hoax
"beredar foto arsip dari akun tiktok terupdate72 pada selasa 21 4 2026 berisi narasi rekrutmen lbjr 2026 resmi dibuka pt jasa raharja persero membuka kesempatan melalui program langkah bakti jasa raharja lbjr 2026 bagi kamu yang siap berkembang dan berkontribusi untuk negeri program ini menjadi bagian dari upaya peningkatan kualitas sdm agar lebih siap menghadapi dunia kerja profesional. kualifikasi pria wanita lulusan sma sederajat, d3, atau s1 semua jurusan ipk minimal 3.00 untuk d3 s1 mendapat 1.000 an tanda suka, menuai 50 an interaksi komentar, serta dibagikan ulang sekitar hampir 2.400 kali.",hoax
"menteri agama tegaskan uang infaq dan zakat kini dikelola oleh pemerintah, akun itu menambahkan narasi lalu benarkah postingan yang mengklaim menag nasaruddin umar menyebut pemerintah saat ini mengelola zakat dan infak untuk menyelamatkan umat dari api neraka dilansir dari laman baznas.go.id, saat ini berdasar keppres ri no.8 tahun 2001 tugas menghimpun dan menyalurkan zakat, infak, dan sedekah zis tingkat nasional dilakukan oleh baznas. dalam uu tersebut, baznas dinyatakan sebagai lembaga pemerintah nonstruktural yang bersifat mandiri dan bertanggung jawab kepada presiden melalui menteri agama. selain itu lembaga lain yang mengelola zis adalah lembaga amil zakat laz . laz merupakan lembaga yang dibentuk masyarakat yang memiliki tugas membantu pengumpulan, pendistribusian, dan pendayagunaan zakat menurut pp 14 tahun 2014 dan uu 23 tahun 2011. zakat adalah amanah umat yang harus dijaga dan disalurkan sesuai ketentuan syariat. hak para mustahik adalah prioritas dalam setiap kebijakan pengelolaan dana zakat,",hoax
vladimir putin sudah deklarasi bakal lindungi indonesia dari ancaman amerika indonesia meminta bantuan rusia setelah dapat ancaman dari amerika. semoga selamat dari donald trump,hoax
china mengirim kapal induk ke selat hormuz untuk bergabung dengan iran,hoax
"dhuaarrr lhaa, ternyata emang bener kan dalam vaksin flu terkandung merkuri di dalamnya. bagaimana dengan vaksin vaksin lainnya inline3 margin 1.5em auto inline3 img margin 0 auto max width 300px important gpt inline3 passback text align center padahal selama ini kita susah payah menghindari kosmetik dan seafood yang mengandung merkuri. jebul ternyata selama ini malah disuntikkan langsung ke aliran darah u.s. to remove mercury preservative from flu shots following rfk jr. vaccine panel vote",hoax
"update ribuan warga israel mengungsi ke luar wilayah lain setelah perundingan dgn iran gagal mereka ketakutan akan serangan rudal iran dan kemungkinan di tambah rudal turki setelah turki menyatakan perang dng israel,",hoax
"panggilan allah tidak pernah salah alamat. kesempatan emas bagi bapak ibu yang memiliki kerinduan mendalam untuk bersujud di depan ka bah, namun terhalang biaya. kami membuka kuota haji secara gratis sebagai wujud syukur dan ikhtiar membantu sesama umat muslim. semoga ini menjadi jalan pembuka bagi doa doa yang selama ini dipanjatkan di sujud malam. silakan untuk mendaftarkan diri dengan menghubungi whatsapp saya. jangan sampai kesempatan ini terlewatkan. ini bukan rekayasa. saya siap bertanggung jawab, atau kalau tidak mau bisa diganti dengan bantuan tunai. mungkin ini saja salam akal sehat saya anies baswedan. assalamualaikum warahmatullahi wabarakatuh. ri 1 2029 h. anies rasyid baswedan, bantuan kuota haji gratis. tunjangan dana bantuan modal usaha inline4 margin 1.5em 0 inline4 img max width 300px important margin auto display block gpt inline4 passback text align center program resmi dan berizin real juga amanah. pencairan langsung diproses. langsung menghubungi whatsapp untuk keterangan lebih lanjut.",hoax
"resigns. trump has resigned as president of the united states of america, and will announce it tonight at 9 pm. breaking news. dr.raph discovery drd tv",hoax
"kemanakah semangat membara sang koboi begitu narasi tertulis dalam unggahan video. inline3 margin 1.5em auto inline3 img margin 0 auto max width 300px important gpt inline3 passback text align center dalam keterangan video dituliskan sebab pesimisme purbaya terhadap ekonomi indonesia yang terancam meredup redupnya sang koboi dari optimisme tinggi menuju warning ekonomi suram. dahulu, dalam berbagai forum ekonomi, sosok purbaya yudhi sadewa kerap dikenal dengan gaya bicaranya yang lugas, berani, dan penuh rasa percaya diri layaknya seorang di tengah padang rumput kebijakan moneter dan fiskal. ia adalah salah satu suara paling lantang yang menyuarakan optimisme bahwa indonesia adalah di tengah kegelapan global. namun, geliat angin geopolitik yang semakin kencang tampaknya mulai mendinginkan semangat membara tersebut. belakangan, sang koboi tak lagi menembakkan peluru optimisme buta ia justru menarik tali kekang kudanya dan memberikan peringatan yang cukup getir ekonomi indonesia bisa ikut suram.",hoax
"dhuaarrr lhaa, ternyata emang bener kan dalam vaksin flu terkandung merkuri di dalamnya. bagaimana dengan vaksin vaksin lainnya gpt inline3 passback text align center padahal selama ini kita susah payah menghindari kosmetik dan seafood yang mengandung merkuri. jebul ternyata selama ini malah disuntikkan langsung ke aliran darah u.s. to remove mercury preservative from flu shots following rfk jr. vaccine panel vote",hoax
"alhamdulillah pak presiden menyampaikan bahwa promo dari toko mama gigi emang bener harganya rp600.000 yang mau order langsung hubungi whatsapp 0822 6188 5751 raffiahmad nagitaslavina raffinagita nagitaraffi1717 presiden prabowo indonesia vario sorotan saudara saudaraku dengan ini saya prabowo subianto menegaskan bahwa program promo sepeda motor murah 600.000 di toko mama gigi. ini resmi dari bapak raffi ahmad dan nagita slavina, program ini hadir sebagai bentuk apresiasi kepedulian kepada masyarakat dan yang mau order sepeda motor promo 600.000 langsung saja hubungi whatsapp di bio profil",hoax
"israel mengakui kekalahan atas iran, dan berjanji tidak akan menjajah palestine serta akan mengganti biaya perang iran.",hoax
"menurut laporan media rusia yang belum terverifikasi, sebuah rudal iran disebut menghantam bunker utama israel defense forces yang diduga menampung pejabat tinggi. jika terbukti benar, insiden ini berpotensi memicu guncangan besar di tingkat global.",hoax
"saya ingin berbagi rezeki sebesar 60 juta rupiah, semoga dengan dana ini semua masyarat dapat terbantu amin ya robbal alamin assalamualaikum warahmatullahi wabarakatuh, saya sri mulyani ingin menyampaikan untuk semua masyarakat indonesia bahwa saya ingin berbagi rezeki sebesar rp 60 juta. yang komen amin semoga menjadi pemenang, yang hanya melihat semoga allah mencukupkan rezekinya.",hoax
"demo para mahasiswa di jakarta menuntut prabowo dan gibran segera di makzulkan dan jokowi di nepalkan kata para termul jokowi itu mantan presiden paling terbaik, terbaik kok sampai di demo begini sama mantan rakyatnya buat di nepalkan demonstrasi mahasiswa indonesia dari masa ke masa",hoax
"dunia lagi kacau pasca konflik global, tapi ekonomi indonesia justru naik hingga 8 ternyata salah satunya adalah program mbg makan bergizi gratis . karena berkat mbg orang tua gak perlu ngeluarin uang buat makan siang anaknya. bahkan petani nelayan pun ikut kecipratan untuk memasok kebutuhan program mbg ini. makanya aku sangat mendukung program mbg ini, karena bisa membukakan banyak lapangan pekerjaan dan umkm ikut bergerak. teruntuk orang orang yang meremehkan mbg, ternyata dampaknya besar loh buat ekonomi kita",hoax
platform investasi yang didanai pemerintah ini menjamin pendapatan sebesar 21.000.000 idr per minggu investasikan 4.300.000 idr hari ini dan terima pembayaran pertama anda di rekening bank anda besok unggahan disertai takarir program bantuan ekonomi dari perusahaan energi nasional yang andal,hoax
koperasi merah putih assalamualaikum saya purbaya yudha sadewa menteri keuangan ingin menyampaikan ke semua masyarakat bapak ibu yang masih bingung cara pengajuan di koperasi merah putih itu silakan di follow dulu klik pesan dan juga bisa langsung ke nomor whatsapp kita yang di bio tiktok silakan ajukan peminjaman sekarang silahkan yang mau mengajukan pinjaman berbasis online resmi koperasi merah putih silakan menghubungi nomor whatsapp kami 088247126590,hoax
"beredar foto arsip dari akun tiktok loker.resmi.puskesmas77 pada kamis 16 4 2026 berisi narasi lowongan kerja terbaru puskesmas indonesia posisi yang dibutuhkan perawat bidan tenaga administrasi apoteker asisten apoteker analis kesehatan nutrisionis ahli gizi cleaning service security penempatan sesuai kebutuhan wilayah puskesmas di indonesia. mendapat sebanyak hampir 944 tanda suka dan 90 an komentar, serta dibagikan ulang lebih dari 945 kali.",hoax
"tirto.id sebuah video beredar di media sosial facebook yang mengklaim bahwa serangan iran terhadap amerika serikat semakin memanas. dalam unggahan disebutkan 4 ribu tentara amerika serikat tewas di timur tengah. inline3 margin 1.5em auto inline3 img margin 0 auto max width 300px important gpt inline3 passback text align center inline4 margin 1.5em 0 inline4 img max width 300px important margin auto display block gpt inline4 passback text align center lantas, benarkan 4 ribu tentara as tewas diserang iran tentara israel hancurkan seluruh kamera pengawas markas unifil periksa fakta 4000 tentara as tewas.",hoax
"ribuan helikopter turki sdh berangkat ke iran, turki bersama iran. semakin memanas ya allah. turki merapat ke iran, ribuan helikopter turki berangkat k iran ,,iran bersama turki.",hoax
"program pemerintah tahun anggaran 2026 bantuan bibit ayam,ikan,kambing dan sapi kuota nasional terbatas 5.000 peserta fasilitas bantuan ternak ayam ternak ikan ternak kambing domba ternak sapi pakan ternak imunisasi dan pelatihan beternak modal usaha syarat peserta warga negara indonesia memiliki lahan atau kandang ternak bersedia irtengikuti pelatihan resmi mengisi formulir pendaftaran online periode pendaftaran 2026 info pendaftaran silahkan klik daftar di postingan atau klik link di bawah ini gratis tidak di pungut biaya",hoax
"k3bijakan purb4ya di bul4n 4pril in . purb4ya 5aya ak4n pan9kas gaji d3p3r, ak4n 5aya 4lihkan di bpj5 dan sekolah 9ratis untuk r4kyat a9ar t4k terlalu terbeb4ni 5aya tid4k peduli mau para elit n9amuk, penguasa n9amuk yan9 pentin9 r4kyat 5ejahtera mohon dukungannya",hoax
informasi bsu cair lagi senilai rp 600.000 buruan daftar bsu cair lagi rp600 ribu kemnaker resmi menyalurkan bantuan subsidi upah untuk periode april juni 2026,hoax
jusuf kalla akui pimpin pembakaran gereja 1967 terungkap pengakuan jusuf kalla memimpin pembakaran 11 gereja tahun 1967. simak kronologi dan motif di balik peristiwa kontroversial ini.,hoax
"tirto.id sebuah video beredar di media sosial facebook yang mengklaim bahwa serangan iran terhadap amerika serikat semakin memanas. dalam unggahan disebutkan 4 ribu tentara amerika serikat tewas di timur tengah. gpt inline3 passback text align center gpt inline4 passback text align center lantas, benarkan 4 ribu tentara as tewas diserang iran tentara israel hancurkan seluruh kamera pengawas markas unifil periksa fakta 4000 tentara as tewas.",hoax
"sudah termasuk izin resmi daerah beserta berupa spanduk untuk sub pangkalan kalau untuk pangkalan papan nama pangkalan akan dibawakan sama pihak instruktur pengelolah langsung dipasang depan toko atau gudang rumahan langsung buka agen resmi didaerah,",hoax
"menteri esdm bahlil pln merugi karena masyarakat tak bisa belajar hemat listrik, ini orang enaknya d apain ya...",hoax
